"旅行種類 コード","旅行種類","時間軸（年次、四半期）","居住地","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","平均泊数【泊／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","平均泊数【泊／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","平均泊数【泊／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","平均泊数【泊／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】"
"100","国内旅行","2016年","全国","64.34","2.5648","49,234","2.19","55.12","1.3914","54,545","1.62","27.61","0.7342","37,396","3.12","8.14","0.4392","52,198","2.43","50.07","2.4842","15,602","43.21","1.6445","15,569","17.79","0.4027","16,980","6.96","0.4370","14,456"
"100","国内旅行","2016年","北海道","64.58","2.6861","46,096","2.54","51.16","1.3104","52,933","1.82","35.97","0.8406","38,017","3.00","12.88","0.5351","42,043","3.57","46.15","2.0515","13,109","35.49","1.4000","13,937","22.56","0.3977","11,715","3.61","0.2538","10,728"
"100","国内旅行","2016年","東北","58.33","2.2406","44,556","2.15","48.30","1.2332","51,219","1.64","24.86","0.6241","31,628","2.49","9.10","0.3833","44,166","3.24","45.43","2.3796","13,687","38.08","1.4779","13,967","16.01","0.3639","17,319","7.95","0.5378","10,459"
"100","国内旅行","2016年","関東","68.59","2.8351","48,795","2.24","58.16","1.5443","54,912","1.68","31.74","0.8691","38,781","3.36","8.56","0.4217","47,033","1.97","51.80","2.6761","16,152","45.67","1.7904","16,313","17.85","0.4376","17,086","7.34","0.4482","14,599"
"100","国内旅行","2016年","北陸信越","69.78","2.7480","42,212","1.82","59.36","1.3275","51,258","1.48","29.34","0.7714","35,547","2.36","9.55","0.6491","31,632","1.89","54.84","2.0575","15,774","45.19","1.2775","16,065","18.24","0.3033","17,409","10.83","0.4767","13,955"
"100","国内旅行","2016年","中部","67.84","2.5461","51,382","2.02","64.28","1.5578","54,992","1.44","23.37","0.6093","32,937","2.76","6.41","0.3789","66,203","3.20","56.83","2.7787","17,142","50.60","2.0112","16,476","20.61","0.4169","21,938","7.37","0.3506","15,263"
"100","国内旅行","2016年","近畿","64.95","2.7134","49,858","2.10","56.32","1.4285","55,469","1.62","28.07","0.6950","36,065","2.94","8.16","0.5899","52,521","2.25","49.14","2.6574","15,018","41.56","1.6887","14,429","19.31","0.3863","15,472","7.11","0.5824","16,423"
"100","国内旅行","2016年","中国","58.84","2.1409","50,483","2.09","48.55","1.1766","58,474","1.59","23.56","0.6391","38,838","3.24","8.36","0.3252","44,458","1.66","57.12","2.5104","16,771","48.15","1.5610","16,184","20.20","0.4427","20,766","10.46","0.5067","15,089"
"100","国内旅行","2016年","四国","55.18","2.1556","51,059","2.68","46.69","1.0148","57,198","1.95","20.02","0.7334","38,385","3.97","7.83","0.4074","58,581","2.20","48.42","2.5211","16,761","45.26","1.8491","17,134","12.07","0.3651","15,046","6.39","0.3069","16,553"
"100","国内旅行","2016年","九州","53.87","2.0169","54,573","2.36","44.56","1.1060","51,202","1.54","21.48","0.6029","41,087","3.23","5.80","0.3080","93,070","3.63","39.87","1.8739","12,953","34.14","1.1736","13,352","13.03","0.3993","12,630","3.44","0.3010","11,829"
